Date,Temp
1963-01,0.8
1986-02,1.7
1963-02,2.8
1956-02,2.9
1987-01,3.6
1950-12,3.8
1979-01,3.8
2010-12,3.9
1985-01,4.1
1981-12,4.4
1979-02,4.5
2010-01,4.5
1969-02,4.9
1955-02,5.0
1962-12,5.0
1966-01,5.3
1968-12,5.4
1963-12,5.4
1991-02,5.4
1997-01,5.5
1983-02,5.5
1953-01,5.6
1955-01,5.6
1976-12,5.6
1959-01,5.7
1968-02,5.7
1952-12,5.8
1995-12,5.8
1964-01,5.8
1965-02,5.9
1954-01,5.9
1980-01,6.0
1954-02,6.1
1977-01,6.1
1969-12,6.1
1978-02,6.2
1952-01,6.2
1996-12,6.2
1985-02,6.3
2013-01,6.5
1965-01,6.6
2013-02,6.7
1952-02,6.7
1978-01,6.7
1958-01,6.8
1961-12,6.8
2009-01,6.8
1996-02,6.8
1961-01,6.9
1982-01,6.9
1960-01,6.9
1972-01,6.9
1960-12,6.9
2010-02,6.9
2013-03,6.9
1956-01,7.0
1951-02,7.0
1970-12,7.0
2009-12,7.0
1981-02,7.1
1964-12,7.1
1950-01,7.1
2001-01,7.1
1970-01,7.1
1986-01,7.2
1996-01,7.2
1993-02,7.2
1970-02,7.2
2006-02,7.2
1967-12,7.2
1968-01,7.2
2005-02,7.3
1973-01,7.3
2001-12,7.3
1967-01,7.3
1951-01,7.3
2008-12,7.3
1991-01,7.3
2011-01,7.4
1962-03,7.4
1984-02,7.4
1959-02,7.4
1992-01,7.5
1952-11,7.5
1953-02,7.5
1962-02,7.6
1957-12,7.6
1975-12,7.6
1964-02,7.6
1964-03,7.6
1990-12,7.6
2006-01,7.6
1994-02,7.7
1987-02,7.7
1978-12,7.8
1992-12,7.8
2009-02,7.8
1971-01,7.8
1976-02,7.8
1948-02,7.9
1972-02,7.9
1955-03,7.9
1960-02,7.9
1962-01,7.9
2012-02,8.0
1958-12,8.0
2003-01,8.0
1984-01,8.0
1969-03,8.0
2015-02,8.0
1985-11,8.1
1970-03,8.1
1958-03,8.1
1973-02,8.1
1981-01,8.1
1956-12,8.2
2005-12,8.2
1982-12,8.2
1991-12,8.3
1982-02,8.4
1965-11,8.4
1951-03,8.4
2003-02,8.4
1965-12,8.4
1975-03,8.4
1987-03,8.5
1949-01,8.5
1996-03,8.6
1973-12,8.6
1971-02,8.6
2000-01,8.6
1957-01,8.7
2004-02,8.7
1984-12,8.7
1999-12,8.7
1988-02,8.7
1948-12,8.8
1966-11,8.8
2004-12,8.8
2004-01,8.8
2015-01,8.8
1976-01,8.8
2003-12,8.8
1993-11,8.8
1988-01,8.8
1999-02,8.8
1958-02,8.9
1987-12,8.9
1969-01,8.9
1980-12,8.9
1948-01,8.9
2007-12,8.9
1984-03,8.9
1951-12,8.9
1995-01,8.9
2002-12,9.0
1980-03,9.0
2012-12,9.0
1957-02,9.0
2000-12,9.0
1971-03,9.1
1962-11,9.1
2010-11,9.1
2014-12,9.2
1977-12,9.2
1998-01,9.2
1949-12,9.2
1974-02,9.2
1983-12,9.2
1979-12,9.2
2001-02,9.2
1993-12,9.2
1979-03,9.2
1956-11,9.3
1980-11,9.3
1966-12,9.3
1949-03,9.3
1966-02,9.3
1975-02,9.3
1967-02,9.3
1959-12,9.3
1994-01,9.3
